Epoch,Generator Loss,Discriminator Loss,Epoch Time (s)
1,0.6612049341201782,1.2642457485198975,58.617406606674194
2,0.7177900075912476,1.3795357942581177,53.95455288887024
3,0.6892446875572205,1.404934287071228,53.911224126815796
4,0.6989359855651855,1.3926101922988892,54.28959107398987
5,0.7000007033348083,1.4004513025283813,54.915926456451416
6,0.7073864936828613,1.373233437538147,55.40664052963257
7,0.7088418006896973,1.3862606287002563,56.66174244880676
8,0.8029223084449768,1.331010103225708,56.40602660179138
9,0.8270794153213501,1.26558256149292,56.57513427734375
10,0.7798237204551697,1.3521379232406616,56.79701542854309
11,0.7942859530448914,1.3230284452438354,56.82059097290039
12,0.8192295432090759,1.3147075176239014,55.25056338310242
13,0.911300539970398,1.2386552095413208,57.93799686431885
14,0.9289957880973816,1.1939582824707031,57.18275451660156
15,0.950535774230957,1.1919745206832886,56.180824279785156
16,0.9616018533706665,1.2119226455688477,56.87256574630737
17,0.8765783905982971,1.2650471925735474,59.17351222038269
18,0.8934025168418884,1.2522321939468384,57.506837129592896
19,0.8866970539093018,1.2571173906326294,56.89620327949524
20,0.9488730430603027,1.1862255334854126,57.62335729598999
21,1.013407588005066,1.1466714143753052,60.30067801475525
22,0.9613754153251648,1.2385236024856567,57.920692682266235
23,1.045752763748169,1.1869347095489502,57.383591175079346
24,0.9886561036109924,1.1801680326461792,57.04033923149109
25,1.0396873950958252,1.1307655572891235,56.39744281768799
26,1.0638248920440674,1.1723839044570923,56.96574902534485
27,1.0205285549163818,1.1712946891784668,56.784135580062866
28,1.069919228553772,1.105675220489502,57.142892599105835
29,1.052815318107605,1.1599915027618408,57.690292835235596
30,1.089361548423767,1.1285580396652222,70.54455947875977
31,1.0941693782806396,1.1622134447097778,121.9496328830719
32,1.055598497390747,1.1146254539489746,82.5478081703186
33,1.0470306873321533,1.1425169706344604,53.21677327156067
34,1.0462013483047485,1.1544615030288696,53.977497816085815
35,1.061471939086914,1.1624858379364014,54.9465606212616
36,1.1110060214996338,1.1506502628326416,54.497822523117065
37,1.1697661876678467,1.101450800895691,55.864598751068115
38,1.174608826637268,1.079034447669983,56.28098154067993
39,1.0896389484405518,1.1764401197433472,55.24414896965027
40,1.0266956090927124,1.182485580444336,55.1348602771759
41,0.9775937795639038,1.2278292179107666,56.080344676971436
42,0.9536694884300232,1.242217779159546,55.91028022766113
43,0.9425309896469116,1.234793782234192,54.844610929489136
44,0.9267387986183167,1.2510311603546143,57.29316687583923
45,0.9588691592216492,1.237396001815796,56.563199520111084
46,1.042466163635254,1.2232307195663452,56.05161905288696
47,1.0149633884429932,1.2080920934677124,55.7553915977478
48,0.9603525996208191,1.2332918643951416,56.06754207611084
49,0.9440007209777832,1.2491867542266846,55.65503120422363
50,0.9266069531440735,1.243253231048584,54.85120892524719
